Year,Month,Day Mean,Day Max,Day Min
1994,11,28.368666666666666,28.394099999999998,28.342233333333336
1994,12,28.43290322580645,28.458193548387094,28.399806451612903
1995,1,28.44483870967742,28.48241935483871,28.40593548387097
1995,2,28.513214285714287,28.564107142857143,28.47489285714286
1995,3,22.898064516129033,22.93016129032258,22.872064516129033
1995,4,28.140333333333334,28.144366666666667,28.136466666666667
1995,5,21.769354838709678,21.770548387096774,21.767774193548387
1995,6,28.129666666666665,28.13273333333333,28.1275
1995,7,28.125806451612902,28.128645161290326,28.123322580645162
1995,8,28.11483870967742,28.11867741935484,28.11225806451613
1995,9,28.091333333333335,28.093933333333332,28.088166666666666
1995,10,28.19516129032258,28.204290322580643,28.185741935483872
1995,11,28.234333333333332,28.25186666666667,28.222933333333334
1995,12,28.290967741935482,28.31932258064516,28.26322580645161
1996,1,28.50548387096774,28.569612903225806,28.440387096774195
1996,2,28.306206896551725,28.327068965517242,28.277896551724137
1996,3,28.36967741935484,28.40751612903226,28.33851612903226
1996,4,28.22233333333333,28.231766666666665,28.213433333333334
1996,5,28.171290322580642,28.175161290322578,28.16783870967742
1996,6,28.137999999999998,28.14196666666667,28.13383333333333
1996,7,28.138709677419353,28.145935483870968,28.132193548387097
1996,8,28.160967741935483,28.17464516129032,28.14625806451613
1996,9,28.170333333333335,28.173333333333336,28.166666666666668
1996,10,28.34,28.364451612903228,28.318225806451615
1996,11,28.320666666666668,28.332833333333333,28.307133333333336
1996,12,28.245483870967742,28.251774193548385,28.23835483870968
1997,1,28.184193548387096,28.19248387096774,28.173967741935485
1997,2,28.299285714285713,28.322035714285715,28.28142857142857
1997,3,28.27,28.278483870967744,28.2621935483871
1997,4,28.11733333333333,28.124666666666666,28.110166666666665
1997,5,28.09032258064516,28.099774193548384,28.081064516129032
1997,6,28.096333333333334,28.108966666666667,28.08406666666667
1997,7,28.08451612903226,28.092774193548387,28.077612903225805
1997,8,28.33483870967742,28.354258064516127,28.313774193548387
1997,9,28.423333333333336,28.433433333333333,28.414166666666667
1997,10,28.35967741935484,28.37816129032258,28.338548387096775
1997,11,27.622333333333334,27.6561,27.596566666666668
1997,12,28.598064516129032,28.643032258064515,28.555
1998,1,28.695806451612906,28.73190322580645,28.656709677419354
1998,2,28.183214285714286,28.192964285714286,28.173499999999997
