Year,Month,Day Mean,Day Max,Day Min
1956,10,27.331176470588236,27.359352941176468,27.314647058823528
1956,11,27.295666666666666,27.310799999999997,27.284333333333333
1956,12,27.386129032258065,27.42541935483871,27.34990322580645
1957,1,27.45451612903226,27.506096774193548,27.420387096774196
1957,2,27.46,27.49207142857143,27.433678571428572
1957,3,27.40967741935484,27.461354838709678,27.37716129032258
1957,4,27.345000000000002,27.3641,27.322766666666666
1957,5,27.213870967741936,27.224806451612906,27.203354838709675
1957,6,27.144333333333336,27.1508,27.138433333333335
1957,7,27.149354838709677,27.156096774193546,27.144870967741934
1957,8,27.13741935483871,27.1481935483871,27.128258064516128
1957,9,27.250999999999998,27.288833333333333,27.2172
1957,10,27.404838709677417,27.478612903225805,27.356354838709677
1957,11,27.415000000000003,27.4463,27.383699999999997
1957,12,27.44645161290323,27.50025806451613,27.405225806451615
1958,1,27.493870967741938,27.557161290322583,27.444612903225806
1958,2,27.544642857142858,27.65542857142857,27.479464285714283
1958,3,27.301290322580645,27.311387096774194,27.292387096774192
1958,4,27.26066666666667,27.268166666666666,27.25186666666667
1958,5,27.34903225806452,27.40716129032258,27.308516129032256
1958,6,27.504,27.615266666666667,27.420166666666667
1958,7,10.592258064516129,10.608064516129033,10.572193548387096
1958,8,27.463225806451614,27.56661290322581,27.403967741935485
1958,9,27.420666666666666,27.5107,27.367733333333334
1958,10,27.41741935483871,27.476870967741934,27.36851612903226
1958,11,27.30366666666667,27.317233333333334,27.287233333333333
1958,12,27.40741935483871,27.466580645161294,27.359806451612904
1959,1,27.394193548387097,27.45125806451613,27.36225806451613
1959,2,27.219642857142855,27.23207142857143,27.209285714285716
1959,3,27.272903225806452,27.289032258064516,27.258612903225803
1959,4,27.245333333333335,27.259933333333333,27.226966666666666
1959,5,27.16774193548387,27.177548387096774,27.15967741935484
1959,6,27.096,27.104100000000003,27.0883
1959,7,27.069032258064517,27.074677419354842,27.06351612903226
1959,8,27.02032258064516,27.025225806451616,27.015838709677418
1959,9,26.999333333333333,27.004733333333334,26.9959
1959,10,27.116774193548387,27.144032258064517,27.091806451612904
1959,11,27.23033333333333,27.263266666666667,27.205533333333335
1959,12,27.607096774193547,27.706451612903226,27.53977419354839
1960,1,27.509677419354837,27.58809677419355,27.455645161290324
1960,2,27.393448275862067,27.428034482758623,27.366655172413793
1960,3,27.325161290322583,27.368225806451612,27.301451612903225
1960,4,27.26966666666667,27.2849,27.258266666666668
1960,5,27.129354838709677,27.13951612903226,27.119096774193547
1960,6,27.106333333333335,27.116533333333333,27.0945
1960,7,27.12451612903226,27.141032258064516,27.11051612903226
1960,8,27.233870967741936,27.266129032258064,27.20364516129032
1960,9,27.47233333333333,27.539566666666666,27.406966666666666
1960,10,27.52,27.62493548387097,27.4271935483871
1960,11,27.568666666666665,27.66783333333333,27.4971
1960,12,27.596774193548388,27.675709677419356,27.50767741935484
1961,1,27.546774193548387,27.643612903225808,27.49458064516129
1961,2,27.482857142857142,27.518357142857145,27.453464285714286
1961,3,27.19709677419355,27.20387096774194,27.190387096774195
1961,4,27.217,27.256633333333333,27.189033333333334
1961,5,27.160645161290322,27.171870967741935,27.153032258064517
1961,6,27.053333333333335,27.058866666666667,27.048033333333333
1961,7,27.053870967741933,27.066387096774193,27.04206451612903
1961,8,27.028387096774193,27.032709677419355,27.023774193548388
1961,9,27.020333333333333,27.040300000000002,27.007333333333335
1961,10,27.126451612903224,27.148709677419355,27.105516129032257
1961,11,27.16,27.1868,27.138033333333333
1961,12,22.010967741935485,22.032064516129033,21.997290322580643
1962,1,27.37483870967742,27.421451612903226,27.333354838709678
1962,2,27.320357142857144,27.342214285714284,27.302178571428573
1962,3,27.328387096774193,27.35616129032258,27.3021935483871
1962,4,27.334999999999997,27.363999999999997,27.3118
1962,5,27.11774193548387,27.127548387096773,27.10709677419355
1962,6,27.067333333333334,27.084400000000002,27.055400000000002
1962,7,27.010322580645163,27.01751612903226,27.00558064516129
1962,8,27.010967741935485,27.01648387096774,27.00383870967742
1962,9,27.168666666666663,27.232766666666667,27.125766666666667
1962,10,27.21677419354839,27.246741935483872,27.190161290322582
1962,11,27.34,27.386533333333333,27.306033333333335
1962,12,19.478387096774195,19.531903225806452,19.426774193548386
1963,1,27.32967741935484,27.363806451612906,27.29525806451613
1963,2,27.239285714285717,27.26575,27.22017857142857
1963,3,27.302258064516128,27.330516129032258,27.274645161290323
1963,4,27.303,27.3361,27.281566666666667
1963,5,27.160645161290322,27.169451612903227,27.149516129032257
1963,6,27.064,27.072733333333336,27.056533333333334
1963,7,27.053870967741933,27.060935483870967,27.0458064516129
1963,8,27.08516129032258,27.0988064516129,27.065806451612904
1963,9,27.111333333333334,27.131066666666666,27.0936
1963,10,27.209032258064518,27.226870967741934,27.185032258064517
1963,11,27.58566666666667,27.6835,27.502533333333336
1963,12,27.26516129032258,27.279290322580646,27.251064516129034
1964,1,27.206129032258065,27.21767741935484,27.196322580645163
1964,2,27.22241379310345,27.238206896551723,27.20555172413793
1964,3,27.330322580645163,27.385322580645163,27.287806451612905
1964,4,27.257333333333335,27.278866666666666,27.245333333333335
1964,5,27.26258064516129,27.28735483870968,27.238483870967745
1964,6,27.139666666666667,27.154333333333334,27.1275
1964,7,27.088387096774195,27.10151612903226,27.076806451612903
1964,8,27.057741935483868,27.070548387096775,27.04690322580645
1964,9,27.053333333333335,27.063666666666666,27.04413333333333
1964,10,27.28516129032258,27.314387096774194,27.260322580645163
1964,11,27.227666666666668,27.241833333333332,27.216099999999997
