Year,Month,Day Mean,Day Max,Day Min
1977,12,6.42,6.453653846153846,6.392961538461539
1978,1,6.404193548387097,6.421967741935483,6.384774193548387
1978,2,6.438928571428571,6.4628571428571435,6.419357142857143
1978,3,6.39258064516129,6.412225806451612,6.379129032258065
1978,4,6.3580000000000005,6.365333333333334,6.349833333333334
1978,5,6.2945161290322575,6.304709677419355,6.28358064516129
1978,6,6.179333333333333,6.192166666666666,6.168866666666667
1978,7,6.128387096774193,6.139032258064516,6.118645161290322
1978,8,6.228387096774194,6.246322580645161,6.216064516129032
1978,9,6.142666666666667,6.147933333333333,6.1377
1978,10,6.123548387096774,6.127709677419355,6.119516129032259
1978,11,6.215999999999999,6.2274,6.2056666666666676
1978,12,5.320645161290322,5.393677419354839,5.253064516129032
1979,1,6.43258064516129,6.45258064516129,6.414387096774194
1979,2,6.4525,6.489214285714286,6.418071428571428
1979,3,6.443225806451613,6.469322580645161,6.420741935483871
1979,4,6.384666666666666,6.392966666666666,6.3774999999999995
1979,5,6.376774193548387,6.392580645161291,6.364451612903226
1979,6,6.323666666666667,6.3425,6.312866666666666
1979,7,6.182258064516129,6.186870967741935,6.1774516129032255
1979,8,6.1812903225806455,6.192032258064517,6.17241935483871
1979,9,6.204,6.208366666666667,6.199699999999999
1979,10,6.353225806451612,6.3779677419354845,6.3227419354838705
1979,11,6.437333333333333,6.466233333333333,6.412733333333334
1979,12,6.5283870967741935,6.5892580645161285,6.4921612903225805
1980,1,6.514193548387096,6.586741935483871,6.455129032258065
1980,2,6.483448275862069,6.514172413793103,6.460034482758621
1980,3,6.420967741935484,6.457806451612903,6.394741935483871
1980,4,6.315333333333333,6.3175333333333334,6.313199999999999
1980,5,6.220967741935484,6.2210322580645165,6.218354838709677
1980,6,6.216333333333334,6.216966666666667,6.213366666666667
1980,7,6.144516129032258,6.147096774193549,6.141387096774194
1980,8,6.248387096774193,6.26741935483871,6.229967741935484
1980,9,6.246666666666667,6.271533333333333,6.224833333333334
1980,10,6.425161290322581,6.474483870967742,6.391870967741935
1980,11,6.412333333333334,6.434,6.394833333333334
1980,12,6.427741935483871,6.447,6.408741935483871
1981,1,6.395483870967742,6.413258064516129,6.382
1981,2,6.378214285714286,6.397964285714286,6.363321428571429
1981,3,6.481935483870967,6.521354838709677,6.450838709677419
1981,4,6.343666666666667,6.354033333333334,6.330299999999999
1981,5,6.392258064516129,6.416516129032258,6.371225806451613
1981,6,6.4,6.4341,6.372533333333333
1981,7,6.23258064516129,6.246290322580645,6.219645161290322
1981,8,6.105806451612903,6.112,6.101903225806451
1981,9,6.148,6.1709000000000005,6.129566666666666
1981,10,6.392580645161291,6.418677419354839,6.369225806451613
1981,11,6.355666666666666,6.368633333333333,6.3447000000000005
1981,12,6.52741935483871,6.588322580645161,6.481322580645161
1982,1,4.630645161290323,4.650258064516128,4.613548387096775
1982,2,6.3567857142857145,6.365392857142857,6.348714285714286
1982,3,1.663225806451613,1.6675483870967742,1.6593548387096773
1982,4,5.460666666666667,5.465066666666667,5.455733333333333
1982,5,6.225806451612903,6.246903225806451,6.204290322580645
1982,6,6.246666666666667,6.283166666666667,6.213733333333334
1982,7,6.236129032258065,6.24458064516129,6.229225806451613
1982,8,6.111290322580645,6.12916129032258,6.096967741935484
1982,9,6.115666666666667,6.129933333333333,6.1043666666666665
1982,10,6.3429032258064515,6.358677419354839,6.329161290322581
1982,11,6.522666666666667,6.569133333333334,6.473533333333333
1982,12,6.4716129032258065,6.499,6.448645161290322
1983,1,6.448387096774193,6.47458064516129,6.426161290322581
1983,2,6.406428571428571,6.42425,6.393892857142857
1983,3,6.384838709677419,6.396903225806452,6.372387096774194
1983,4,6.426,6.4577,6.402433333333334
1983,5,6.42741935483871,6.455322580645162,6.409774193548388
1983,6,6.275666666666667,6.287066666666666,6.264733333333334
1983,7,6.122903225806452,6.129612903225807,6.11858064516129
1983,8,6.062258064516129,6.082322580645161,6.0477096774193555
1983,9,6.074,6.087966666666667,6.058833333333334
1983,10,6.153548387096774,6.165580645161291,6.13958064516129
1983,11,6.1419999999999995,6.152433333333334,6.1321666666666665
1983,12,6.428709677419355,6.469741935483872,6.382096774193548
1984,1,6.513548387096773,6.554096774193548,6.477838709677419
1984,2,6.469310344827587,6.4959310344827585,6.450482758620689
1984,3,6.385806451612903,6.400645161290322,6.376193548387097
1984,4,6.337666666666666,6.346466666666667,6.330766666666666
1984,5,6.238709677419355,6.254645161290322,6.218516129032258
1984,6,6.139,6.1681,6.124466666666667
1984,7,6.084193548387097,6.097806451612904,6.073806451612904
1984,8,6.058709677419355,6.073774193548387,6.049322580645161
1984,9,6.093,6.1114,6.078033333333334
1984,10,6.1493548387096775,6.162451612903226,6.138290322580645
1984,11,6.459333333333333,6.501133333333333,6.4285
1984,12,6.4712903225806455,6.497999999999999,6.4441612903225804
1985,1,6.441290322580645,6.474354838709677,6.4184838709677425
1985,2,6.413571428571429,6.433321428571429,6.391107142857143
1985,3,6.373548387096775,6.390548387096774,6.357354838709678
1985,4,6.390666666666666,6.401633333333334,6.3793
1985,5,6.3345161290322585,6.348741935483871,6.320645161290322
1985,6,6.277666666666666,6.2933,6.262
1985,7,6.280322580645161,6.324193548387097,6.235129032258064
1985,8,6.446129032258065,6.483225806451612,6.417677419354839
1985,9,6.366333333333333,6.3836,6.354933333333333
1985,10,6.304838709677419,6.311387096774193,6.295677419354838
1985,11,6.311333333333334,6.318533333333334,6.305533333333333
1985,12,6.425161290322581,6.458870967741936,6.398322580645162
1986,1,6.498709677419355,6.539483870967741,6.465354838709677
