Year,Month,Day Mean,Day Max,Day Min
1976,10,79.497,79.5009,79.49260000000001
1976,11,79.49933333333334,79.50306666666667,79.49489999999999
1976,12,79.52677419354839,79.52970967741935,79.52212903225806
1977,1,79.54645161290323,79.55170967741935,79.5411935483871
1977,2,79.65357142857144,79.65985714285715,79.64771428571429
1977,3,79.58225806451614,79.58587096774193,79.57748387096774
1977,4,79.55566666666667,79.5605,79.55106666666667
1977,5,79.52225806451614,79.52564516129033,79.51874193548387
1977,6,79.429,79.43226666666666,79.42513333333333
1977,7,79.40483870967742,79.40851612903226,79.39906451612903
1977,8,79.34645161290322,79.35093548387097,79.34261290322581
1977,9,79.33533333333334,79.3386,79.32883333333332
1977,10,79.38548387096773,79.39245161290323,79.37983870967743
1977,11,79.54733333333334,79.55109999999999,79.54226666666666
1977,12,79.58032258064516,79.58445161290322,79.5761935483871
1978,1,23.106451612903225,23.10922580645161,23.103451612903225
1978,2,79.60035714285713,79.60653571428573,79.59557142857143
1978,3,79.58774193548386,79.592,79.58364516129032
1978,4,79.53866666666666,79.5427,79.53490000000001
1978,5,79.47322580645161,79.47525806451614,79.46970967741936
1978,6,79.41533333333334,79.41763333333333,79.41183333333333
1978,7,79.38387096774194,79.38767741935484,79.3798064516129
1978,8,79.40516129032258,79.40835483870968,79.40112903225807
1978,9,79.40799999999999,79.4113,79.40493333333333
1978,10,79.44,79.44370967741936,79.43732258064517
1978,11,79.48433333333334,79.49029999999999,79.47756666666668
1978,12,79.63032258064516,79.63803225806451,79.62412903225807
1979,1,33.40516129032258,33.40764516129032,33.40216129032258
1979,2,45.445,45.44807142857143,45.44332142857143
1979,3,64.15193548387097,64.15693548387097,64.14677419354838
1979,4,79.53966666666666,79.54209999999999,79.53659999999999
1979,5,79.53483870967742,79.5382258064516,79.53151612903225
1979,6,79.42166666666667,79.4269,79.4168
1979,7,79.13677419354839,79.14229032258065,79.13151612903225
1979,8,79.2658064516129,79.27045161290323,79.2621935483871
1979,9,79.44033333333333,79.44223333333333,79.43513333333334
1979,10,79.50193548387097,79.50564516129033,79.4985806451613
1979,11,79.58433333333333,79.59063333333333,79.57993333333334
1979,12,79.6974193548387,79.70651612903227,79.6856129032258
1980,1,79.59387096774194,79.59664516129033,79.59032258064515
1980,2,24.70586206896552,24.707551724137932,24.704379310344827
1980,3,79.58096774193548,79.586,79.57522580645161
1980,4,79.53733333333334,79.54016666666666,79.5328
1980,5,79.4574193548387,79.45935483870967,79.45370967741935
1980,6,79.44966666666666,79.45206666666667,79.44753333333333
1980,7,79.43258064516128,79.43687096774194,79.42970967741935
1980,8,79.47193548387096,79.47648387096775,79.46974193548387
1980,9,79.50566666666667,79.5096,79.50313333333334
1980,10,79.59516129032258,79.6027741935484,79.58816129032259
1980,11,79.599,79.60483333333333,79.593
1980,12,79.55612903225806,79.56496774193549,79.54354838709678
1981,1,79.4,79.40725806451613,79.39183870967742
1981,2,79.29035714285715,79.30057142857143,79.28153571428571
1981,3,79.49967741935482,79.5068064516129,79.49109677419355
1981,4,79.47333333333333,79.4837,79.46053333333333
1981,5,79.43096774193549,79.44187096774193,79.41454838709677
1981,6,79.58999999999999,79.59736666666666,79.58416666666668
1981,7,79.46322580645162,79.4663870967742,79.4596129032258
1981,8,79.40935483870967,79.41493548387096,79.40493548387096
1981,9,79.41433333333333,79.42063333333334,79.40843333333333
1981,10,79.49677419354839,79.50161290322582,79.49277419354839
1981,11,79.52066666666666,79.52643333333334,79.51343333333332
1981,12,79.5758064516129,79.58041935483871,79.57048387096773
1982,1,79.60258064516128,79.60867741935485,79.59616129032257
1982,2,68.205,68.20982142857143,68.19992857142857
1982,3,43.66451612903226,43.66822580645161,43.66154838709677
1982,4,79.514,79.5174,79.5103
1982,5,79.46322580645162,79.46864516129031,79.45854838709678
1982,6,79.44933333333333,79.4535,79.44406666666667
1982,7,79.42999999999999,79.43483870967742,79.42722580645162
1982,8,79.31032258064516,79.31509677419355,79.30367741935484
1982,9,79.269,79.2741,79.26583333333333
1982,10,79.41032258064516,79.41503225806451,79.4042258064516
1982,11,79.59433333333332,79.60086666666666,79.58646666666667
1982,12,79.62032258064517,79.62567741935484,79.61532258064516
1983,1,79.62806451612903,79.63554838709678,79.61858064516129
1983,2,79.61357142857142,79.61932142857142,79.60546428571429
1983,3,79.57193548387097,79.57716129032258,79.56545161290323
1983,4,79.51366666666667,79.51939999999999,79.50943333333333
1983,5,79.5641935483871,79.56896774193548,79.55841935483872
1983,6,79.493,79.49756666666667,79.48993333333333
1983,7,79.37290322580645,79.37870967741937,79.36693548387096
1983,8,79.18709677419355,79.19545161290323,79.18022580645162
1983,9,79.14933333333333,79.1558,79.14349999999999
1983,10,79.30645161290323,79.31825806451613,79.2971935483871
1983,11,79.26633333333334,79.27283333333334,79.25866666666667
1983,12,79.34129032258065,79.35022580645162,79.3303870967742
1984,1,79.55935483870968,79.5666129032258,79.54883870967743
1984,2,79.52,79.5273448275862,79.51358620689656
1984,3,79.32903225806452,79.33974193548387,79.3205806451613
1984,4,79.411,79.41686666666666,79.40496666666667
1984,5,53.674838709677424,53.678870967741936,53.67132258064516
1984,6,0.0,0.0,0.0
1984,7,71.25258064516129,71.25722580645161,71.24558064516128
1984,8,78.97709677419354,78.98277419354838,78.97087096774194
1984,9,68.43766666666667,68.44423333333334,68.4286
1984,10,78.8474193548387,78.8578064516129,78.8353870967742
1984,11,79.35300000000001,79.36269999999999,79.3421
1984,12,79.63032258064516,79.63651612903226,79.62470967741936
1985,1,79.52290322580646,79.52790322580645,79.51841935483871
1985,2,79.55107142857142,79.55646428571428,79.54603571428572
1985,3,79.46967741935484,79.47367741935484,79.46535483870967
1985,4,79.479,79.48456666666667,79.4726
1985,5,79.42999999999999,79.43525806451613,79.42464516129033
1985,6,79.4,79.40416666666667,79.39586666666666
1985,7,79.27548387096775,79.28093548387096,79.26993548387097
1985,8,79.48322580645161,79.49151612903226,79.47690322580645
1985,9,45.092333333333336,45.095733333333335,45.08953333333333
1985,10,35.884838709677425,35.887193548387096,35.882451612903225
1985,11,79.31066666666668,79.31783333333333,79.30393333333333
1985,12,79.32064516129033,79.33035483870968,79.30964516129033
1986,1,79.5458064516129,79.5505806451613,79.54093548387098
1986,2,79.38392857142857,79.38996428571429,79.37532142857143
1986,3,79.17612903225806,79.18622580645162,79.16425806451613
1986,4,79.26066666666667,79.26693333333333,79.25420000000001
1986,5,79.43548387096774,79.44235483870969,79.42803225806452
1986,6,58.3,58.3031,58.29666666666667
1986,7,76.96129032258065,76.96509677419355,76.95874193548387
1986,8,79.57935483870968,79.5844193548387,79.57451612903226
1986,9,79.50366666666667,79.51116666666667,79.47786666666666
1986,10,79.14258064516129,79.152,79.13112903225807
1986,11,79.35766666666667,79.36553333333333,79.34526666666667
