Year,Month,Day Mean,Day Max,Day Min
1978,6,7.841666666666667,7.843866666666667,7.8404
1978,7,7.872258064516129,7.9270645161290325,7.837677419354838
1978,8,7.95258064516129,8.004903225806451,7.912096774193548
1978,9,7.839666666666667,7.852333333333333,7.824433333333333
1978,10,7.851612903225806,7.875387096774194,7.831451612903226
1978,11,8.214666666666666,8.385166666666667,8.1007
1978,12,8.903225806451612,9.244774193548388,8.623903225806451
1979,1,8.215806451612902,8.298870967741935,8.129806451612904
1979,2,8.2475,8.37507142857143,8.119107142857143
1979,3,8.400322580645161,8.580709677419355,8.274677419354838
1979,4,8.138666666666667,8.2238,8.0768
1979,5,8.420322580645161,8.645354838709679,8.265290322580645
1979,6,8.017,8.050166666666666,7.989433333333333
1979,7,7.800645161290323,7.803580645161291,7.7982258064516135
1979,8,8.04225806451613,8.13416129032258,7.959451612903226
1979,9,0.0,0.0,0.0
1979,10,5.516451612903226,5.741935483870968,5.402096774193549
1979,11,8.759333333333332,9.0085,8.5643
1979,12,8.827419354838709,9.138225806451612,8.644709677419355
1980,1,8.463548387096774,8.602354838709678,8.321032258064516
1980,2,4.271034482758621,4.406862068965517,4.163172413793103
1980,3,0.0,0.0,0.0
1980,4,0.0,0.0,0.0
1980,5,0.0,0.0,0.0
1980,6,0.0,0.0,0.0
1980,7,0.0,0.0,0.0
1980,8,0.0,0.0,0.0
1980,9,0.0,0.0,0.0
1980,10,0.0,0.0,0.0
1980,11,0.0,0.0,0.0
1980,12,0.0,0.0,0.0
1981,1,0.0,0.0,0.0
1981,2,0.0,0.0,0.0
1981,3,0.0,0.0,0.0
1981,4,2.104,2.1046666666666667,2.1031
1981,5,8.438709677419356,8.712064516129033,8.235709677419354
1981,6,8.139999999999999,8.245566666666667,8.083599999999999
1981,7,7.902258064516129,7.919354838709677,7.885129032258065
1981,8,7.815161290322581,7.821806451612903,7.811
1981,9,8.093666666666667,8.2811,8.001133333333334
1981,10,8.375483870967741,8.594225806451613,8.242903225806451
1981,11,8.285,8.435333333333334,8.191933333333333
1981,12,8.435483870967742,8.69074193548387,8.285322580645161
1982,1,7.072903225806451,7.221451612903226,6.968354838709677
1982,2,8.391428571428571,8.603892857142856,8.285107142857143
1982,3,8.636451612903226,8.864806451612903,8.478129032258064
1982,4,7.971666666666667,7.996733333333333,7.9556000000000004
1982,5,7.925483870967742,7.953774193548387,7.907645161290323
1982,6,8.081,8.2476,7.9701
1982,7,7.966451612903226,8.006193548387097,7.928870967741936
1982,8,7.935806451612903,7.9835161290322585,7.898677419354839
1982,9,6.477333333333333,6.5849,6.4091
1982,10,8.488064516129032,8.739645161290323,8.326322580645162
1982,11,8.791333333333334,9.019533333333333,8.586066666666666
1982,12,8.760645161290322,9.037967741935484,8.540387096774193
1983,1,8.723225806451614,8.979516129032259,8.498387096774193
1983,2,6.701785714285714,6.886,6.605714285714286
1983,3,8.383870967741935,8.568064516129033,8.243935483870969
1983,4,4.72,4.802133333333333,4.6692
1983,5,8.34290322580645,8.51474193548387,8.22374193548387
1983,6,7.946666666666667,7.990433333333333,7.923566666666667
1983,7,7.812903225806451,7.821774193548387,7.806193548387096
1983,8,7.792258064516129,7.813967741935484,7.781225806451612
1983,9,8.039333333333333,8.1214,7.9812666666666665
1983,10,8.36483870967742,8.524967741935484,8.246774193548386
1983,11,8.010666666666667,8.0618,7.963233333333333
1983,12,8.576129032258065,8.829,8.42158064516129
1984,1,8.74,9.121580645161291,8.455548387096774
1984,2,2.886551724137931,2.947931034482759,2.853379310344828
1984,3,8.120967741935484,8.20174193548387,8.066548387096773
1984,4,4.937,4.989233333333333,4.8833
1984,5,6.061612903225806,6.0648064516129025,6.058806451612903
1984,6,7.016666666666667,7.027066666666667,7.008233333333333
1984,7,6.007419354838709,6.014129032258064,6.002225806451612
1984,8,7.746774193548387,7.761129032258064,7.738548387096775
1984,9,5.2139999999999995,5.2321,5.1985
1984,10,2.7409677419354836,2.8076129032258064,2.685903225806452
